date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/12/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"632,754","$69,900,334.38",9.39%
06/12/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$44,196,203.39",5.93%
06/12/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"469,304","$43,283,907.92",5.81%
06/12/2026,ARKF,BLOCK INC,XYZ,852234103,"594,145","$41,049,478.05",5.51%
06/12/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"478,046","$39,500,940.98",5.30%
06/12/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"244,961","$39,299,093.23",5.28%
06/12/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"238,210","$31,224,566.80",4.19%
06/12/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,204,676","$29,743,450.44",3.99%
06/12/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"57,405","$28,039,472.25",3.76%
06/12/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"115,018","$27,777,997.18",3.73%
06/12/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,040","$22,604,400.00",3.03%
06/12/2026,ARKF,ROKU INC,ROKU,77543R102,"188,837","$22,592,458.68",3.03%
06/12/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,999,791.62",2.95%
06/12/2026,ARKF,BULLISH,BLSH,G16910120,"776,603","$21,356,582.50",2.87%
06/12/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"36,957","$21,007,467.51",2.82%
06/12/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,230,658","$20,515,068.86",2.75%
06/12/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"90,433","$18,527,008.71",2.49%
06/12/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"604,328","$18,141,926.56",2.44%
06/12/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"414,007","$18,005,164.43",2.42%
06/12/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"23,065","$15,950,139.45",2.14%
06/12/2026,ARKF,SEA LTD-ADR,SE,81141R100,"164,875","$14,128,138.75",1.90%
06/12/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"15,454","$14,051,043.08",1.89%
06/12/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,115,304","$13,484,025.36",1.81%
06/12/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"794,786","$13,129,864.72",1.76%
06/12/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"26,964","$13,104,504.00",1.76%
06/12/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"741,301","$12,157,336.40",1.63%
06/12/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"89,057","$11,654,889.59",1.56%
