date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/26/2026,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"266,748","$3,115,616.64",5.44%
03/26/2026,PRNT,AUTODESK INC,ADSK,052769106,"12,449","$2,930,743.58",5.12%
03/26/2026,PRNT,PTC INC,PTC,69370C100,"19,563","$2,808,464.28",4.91%
03/26/2026,PRNT,PROTO LABS INC,PRLB,743713109,"45,704","$2,734,013.28",4.78%
03/26/2026,PRNT,NIKON CORP,7731,6642321,"215,798","$2,649,355.64",4.63%
03/26/2026,PRNT,SIEMENS AG-REG,SIE,5727973,"10,822","$2,650,009.94",4.63%
03/26/2026,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,416,118","$2,520,690.04",4.40%
03/26/2026,PRNT,RENISHAW PLC,RSW,0732358,"48,320","$2,499,611.02",4.37%
03/26/2026,PRNT,SYNOPSYS INC,SNPS,871607107,"5,958","$2,443,554.54",4.27%
03/26/2026,PRNT,HP INC,HPQ,40434L105,"122,753","$2,388,773.38",4.17%
03/26/2026,PRNT,TITOMIC LTD,TTT,BYZ03N6,"14,751,975","$2,357,757.32",4.12%
03/26/2026,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,225,513","$2,262,598.48",3.95%
03/26/2026,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"444,324","$2,199,403.80",3.84%
03/26/2026,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"109,466","$2,124,926.75",3.71%
03/26/2026,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"20,025","$2,099,374.76",3.67%
03/26/2026,PRNT,3D SYSTEMS CORP,DDD,88554D205,"915,200","$1,931,072.00",3.37%
03/26/2026,PRNT,STRATASYS LTD,SSYS,M85548101,"224,642","$1,815,107.36",3.17%
03/26/2026,PRNT,XOMETRY INC-A,XMTR,98423F109,"40,296","$1,677,522.48",2.93%
03/26/2026,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"4,149","$1,269,386.55",2.22%
03/26/2026,PRNT,VELO3D INC,VELO UR,92259N302,"117,898","$1,253,255.74",2.19%
03/26/2026,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"3,496","$1,230,661.92",2.15%
03/26/2026,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"4,610","$1,182,741.60",2.07%
03/26/2026,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"34,412","$1,164,519.20",2.03%
03/26/2026,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"6,361","$1,146,697.47",2.00%
03/26/2026,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"9,412","$1,112,686.64",1.94%
03/26/2026,PRNT,GENERAL ELECTRIC,GE,369604301,"3,723","$1,104,092.88",1.93%
03/26/2026,PRNT,AMETEK INC,AME,031100100,"5,076","$1,093,015.08",1.91%
03/26/2026,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"267,386","$990,243.46",1.73%
03/26/2026,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"94,174","$969,069.37",1.69%
03/26/2026,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"231,810","$231,810.44",0.41%
03/26/2026,PRNT,ATI INC,ATI,01741R102,679,"$101,171.00",0.18%
03/26/2026,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,253,"$102,879.92",0.18%
03/26/2026,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"5,404","$95,716.79",0.17%
03/26/2026,PRNT,JABIL INC,JBL,466313103,337,"$95,451.88",0.17%
03/26/2026,PRNT,KENNAMETAL INC,KMT,489170100,"2,458","$89,397.46",0.16%
03/26/2026,PRNT,SANDVIK AB,SAND,B1VQ252,"2,380","$89,917.96",0.16%
03/26/2026,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,366","$87,335.31",0.15%
03/26/2026,PRNT,AVIENT CORP,AVNT,05368V106,"2,359","$85,560.93",0.15%
03/26/2026,PRNT,MATERION CORP,MTRN,576690101,571,"$84,570.81",0.15%
03/26/2026,PRNT,SGL CARBON SE,SGL,4818351,"20,905","$83,504.96",0.15%
03/26/2026,PRNT,TORAY INDUSTRIES INC,3402,6897143,"11,939","$83,169.13",0.15%
03/26/2026,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,013","$79,054.62",0.14%
03/26/2026,PRNT,VOESTALPINE AG,VOE,4943402,"1,778","$81,773.12",0.14%
03/26/2026,PRNT,3M CO,MMM,88579Y101,497,"$73,580.85",0.13%
03/26/2026,PRNT,DAUCH CORPORATION,DCH,BNBV4N3,"5,981","$34,857.39",0.06%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
